,CO_PPM,humidity,temperature,timestamp
-MvcSM8n2zjpCYWQLTvU,3.8433200000000003,39.0,21.8,1644577516.0
-MvcSOF8lv_CtymC_qTC,3.97888,38.0,21.8,1644577525.0
-MvcSQgOdqNMFrPJT2OJ,3.97888,38.0,21.8,1644577535.0
-MvcST7f63qislrlRoK9,3.95595,38.0,21.8,1644577545.0
-MvcSV_-QmoXbj5VEpyY,4.00194,38.0,21.9,1644577555.0
-MvcSY074w-Q0i59bGp4,4.02513,38.0,21.9,1644577565.0
-MvcS_SULjz7D3kBRuoX,4.06409,38.0,21.9,1644577575.0
-MvcSbwjsvk9ybCDct7H,3.89547,38.0,21.8,1644577586.0
-MvcSeKwG2lZYGUdoPcM,4.03289,38.0,21.9,1644577596.0
-MvcSgmGY6-KXVX0A6Ka,3.9865500000000003,38.0,21.9,1644577606.0
-MvcSjDX7VNJ-ajmXWmL,3.97122,38.0,21.9,1644577616.0
-MvcSleeWbJDM2Rzt9xn,4.07978,38.0,21.9,1644577626.0
-MvcSo5zajU76iP5pFWf,4.11134,38.0,21.9,1644577636.0
-MvcSqdX66ZFDgqAWGJE,4.04067,38.0,21.9,1644577646.0
-MvcSsz_7dH5zvpg1ItM,4.06409,38.0,21.9,1644577656.0
-MvcSvQkJlLSYXDxOEhW,4.02513,38.0,21.9,1644577666.0
-MvcSxs54DQ7olRejKn_,4.11134,38.0,21.9,1644577676.0
-MvcT-JEzASWN54AKF8V,4.13518,38.0,21.9,1644577686.0
-MvcT1kWdROXPiel40Tp,4.16718,38.0,21.9,1644577696.0
-MvcT4UkjqpX_uDAmnY9,3.97122,38.0,21.9,1644577706.0
-MvcT6d22c8n2JRS7dJL,4.17522,38.0,21.8,1644577715.0
-MvcT94NHq5Jp_rOdz2F,4.20753,38.0,21.9,1644577725.0
-MvcTBWiHgiwiY955CVl,4.21565,38.0,21.9,1644577735.0
-MvcTDxpqBALtODYTDD6,4.05627,38.0,21.9,1644577745.0
-MvcTGP6bs5jRp3E-gjE,4.12722,38.0,21.9,1644577755.0
-MvcTIqOfgI-b8rrs1wR,4.23193,38.0,21.9,1644577765.0
-MvcTLNEfeecB_fgJJHN,4.07978,38.0,21.9,1644577776.0
-MvcTNj149uzH6dk_Mou,4.28116,38.0,21.9,1644577786.0
-MvcTQAGdUOgU-QcrQkV,4.2401,38.0,21.9,1644577796.0
-MvcTSbMw070yW1H4H2J,4.19134,38.0,21.9,1644577806.0
-MvcTV2jlUq7vRbd-h_d,4.28116,38.0,21.9,1644577816.0
