,CO_PPM,humidity,temperature,timestamp
0,10.95994,49.0,22.8,1645977505.0
1,11.7418,49.0,22.8,1645977515.0
2,12.02302,50.0,22.7,1645977525.0
3,12.09442,51.0,22.7,1645977535.0
4,12.02302,51.0,22.7,1645977545.0
5,11.90501,51.0,22.6,1645977555.0
6,8.31736,51.0,22.6,1645977566.0
7,4.59178,51.0,22.5,1645977576.0
8,5.38844,52.0,22.5,1645977586.0
9,5.65486,52.0,22.5,1645977596.0
10,5.65486,52.0,22.5,1645977606.0
11,5.61135,52.0,22.5,1645977616.0
12,5.60053,52.0,22.4,1645977626.0
13,5.76514,52.0,22.4,1645977636.0
14,5.79865,52.0,22.4,1645977646.0
15,5.61135,52.0,22.3,1645977656.0
16,5.63307,52.0,22.3,1645977666.0
17,5.55744,52.0,22.3,1645977676.0
18,5.36769,52.0,22.3,1645977686.0
19,5.55744,52.0,22.3,1645977696.0
20,5.61135,52.0,22.2,1645977706.0
21,5.58973,52.0,22.2,1645977716.0
22,5.47228,52.0,22.2,1645977726.0
23,5.60053,53.0,22.2,1645977736.0
24,5.41973,53.0,22.2,1645977746.0
25,5.6222,53.0,22.2,1645977755.0
26,5.6877200000000006,53.0,22.2,1645977765.0
27,5.6222,53.0,22.2,1645977775.0
28,5.50406,53.0,22.2,1645977785.0
29,5.57894,53.0,22.2,1645977795.0
30,5.54673,53.0,22.2,1645977805.0
31,5.4512,53.0,22.2,1645977816.0
32,5.55744,53.0,22.2,1645977826.0
33,5.54673,53.0,22.2,1645977836.0
34,5.4512,53.0,22.2,1645977846.0
35,5.55744,53.0,22.2,1645977856.0
36,5.53603,53.0,22.2,1645977866.0
37,5.30591,53.0,22.2,1645977876.0
38,5.48285,53.0,22.2,1645977886.0
39,5.49345,53.0,22.2,1645977896.0
40,5.37806,53.0,22.2,1645977906.0
41,5.47228,53.0,22.2,1645977916.0
42,5.48285,53.0,22.2,1645977926.0
43,5.23475,53.0,22.2,1645977936.0
44,5.40928,53.0,22.2,1645977946.0
45,5.40928,53.0,22.2,1645977956.0
46,5.30591,53.0,22.2,1645977966.0
47,5.32642,53.0,22.2,1645977976.0
48,5.30591,53.0,22.2,1645977986.0
49,5.20454,53.0,22.2,1645977996.0
50,5.32642,53.0,22.2,1645978006.0
51,5.32642,53.0,22.2,1645978016.0
52,5.25498,53.0,22.2,1645978026.0
53,5.32642,53.0,22.2,1645978036.0
54,5.28548,53.0,22.2,1645978046.0
55,5.03671,53.0,22.1,1645978056.0
56,5.31616,53.0,22.1,1645978066.0
57,5.30591,53.0,22.1,1645978076.0
58,5.22466,53.0,22.1,1645978086.0
59,5.2146,53.0,22.1,1645978096.0
60,5.24485,53.0,22.1,1645978106.0
61,5.1546,53.0,22.1,1645978116.0
62,5.23475,53.0,22.1,1645978126.0
63,5.26513,53.0,22.1,1645978136.0
64,5.09531,53.0,22.2,1645978146.0
65,5.25498,53.0,22.2,1645978156.0
66,5.22466,53.0,22.2,1645978166.0
67,5.17452,53.0,22.2,1645978176.0
68,5.23475,53.0,22.2,1645978185.0
69,5.20454,53.0,22.2,1645978195.0
70,5.0855,53.0,22.2,1645978205.0
71,5.20454,53.0,22.2,1645978215.0
72,5.20454,53.0,22.2,1645978225.0
73,5.20454,53.0,22.2,1645978235.0
74,5.00767,53.0,22.2,1645978246.0
75,5.20454,53.0,22.2,1645978256.0
76,4.9884,53.0,22.2,1645978266.0
77,5.18451,53.0,22.2,1645978276.0
78,5.14467,53.0,22.3,1645978286.0
79,5.17452,53.0,22.3,1645978296.0
80,4.99802,53.0,22.3,1645978306.0
81,5.17452,53.0,22.3,1645978316.0
82,4.9692,53.0,22.3,1645978326.0
83,5.0757,53.0,22.3,1645978336.0
84,5.16455,53.0,22.3,1645978346.0
85,5.16455,53.0,22.3,1645978356.0
86,4.95008,53.0,22.3,1645978366.0
87,5.12487,54.0,22.3,1645978376.0
88,4.95008,54.0,22.4,1645978386.0
89,5.12487,54.0,22.4,1645978396.0
90,5.19452,54.0,22.4,1645978406.0
91,5.16455,54.0,22.5,1645978416.0
92,5.1051400000000005,55.0,22.5,1645978426.0
93,5.18451,55.0,22.6,1645978436.0
94,4.99802,55.0,22.7,1645978446.0
95,5.20454,56.0,22.7,1645978456.0
96,5.20454,56.0,22.8,1645978466.0
97,5.20454,56.0,22.9,1645978476.0
98,5.04643,56.0,23.0,1645978486.0
99,5.20454,56.0,23.0,1645978496.0
100,5.04643,56.0,23.1,1645978506.0
101,5.20454,56.0,23.2,1645978516.0
102,5.20454,56.0,23.2,1645978526.0
103,5.16455,56.0,23.3,1645978536.0
104,5.13476,57.0,23.3,1645978546.0
105,5.2146,57.0,23.4,1645978556.0
106,5.1546,57.0,23.5,1645978566.0
107,5.24485,57.0,23.5,1645978576.0
108,5.25498,57.0,23.6,1645978586.0
109,5.28548,57.0,23.6,1645978596.0
110,5.1546,57.0,23.7,1645978606.0
111,5.28548,57.0,23.7,1645978616.0
112,5.0855,57.0,23.7,1645978626.0
113,5.22466,57.0,23.8,1645978636.0
114,5.20454,57.0,23.8,1645978646.0
115,5.20454,57.0,23.8,1645978656.0
116,5.05617,57.0,23.8,1645978666.0
117,5.20454,57.0,23.9,1645978676.0
118,5.09531,57.0,23.9,1645978686.0
119,5.20454,57.0,23.9,1645978696.0
120,5.2146,57.0,23.9,1645978706.0
121,5.14467,57.0,23.9,1645978716.0
122,5.18451,58.0,24.0,1645978726.0
123,5.24485,58.0,24.0,1645978735.0
124,5.14467,58.0,24.0,1645978745.0
125,5.25498,58.0,24.0,1645978755.0
126,5.24485,59.0,24.0,1645978765.0
127,5.26513,59.0,24.0,1645978775.0
128,5.27529,59.0,24.0,1645978785.0
129,5.17452,59.0,24.1,1645978796.0
130,5.1051400000000005,59.0,24.1,1645978806.0
131,5.33671,59.0,24.1,1645978816.0
132,5.36769,59.0,24.1,1645978826.0
133,5.36769,59.0,24.1,1645978836.0
134,5.35734,60.0,24.2,1645978846.0
135,5.20454,60.0,24.2,1645978856.0
136,5.19452,60.0,24.2,1645978866.0
137,5.33671,61.0,24.2,1645978876.0
138,5.36769,61.0,24.2,1645978886.0
139,5.32642,61.0,24.2,1645978896.0
140,5.24485,62.0,24.2,1645978906.0
141,5.12487,62.0,24.3,1645978916.0
142,5.17452,62.0,24.3,1645978926.0
143,5.31616,62.0,24.3,1645978936.0
144,5.26513,61.0,24.3,1645978946.0
145,5.2956900000000005,61.0,24.3,1645978956.0
146,5.33671,61.0,24.3,1645978966.0
147,5.20454,62.0,24.3,1645978976.0
148,5.26513,62.0,24.3,1645978986.0
149,5.31616,62.0,24.4,1645978996.0
150,5.33671,62.0,24.4,1645979006.0
151,5.34702,62.0,24.4,1645979016.0
152,5.32642,62.0,24.4,1645979026.0
